,word,weight
689,bepergian,1
690,joli,1
691,jodoh,3
692,terkoneksi,3
693,herbal,2
694,sesuai,3
695,sekata,3
696,laporkan,2
697,penghidupan,2
698,utopia,2
699,berkenan,2
700,rahim,2
701,lewat,2
702,geleser,1
703,special,4
704,obsesi,1
705,sepakat,4
706,bermohon diri,2
707,insentif,3
708,nafkah,3
709,setuju,4
710,curhat,2
711,berproses,1
712,varian,1
713,oke,2
714,kesabaran,5
715,mufakat,4
716,rawat,3
717,mikir,2
718,karunia,4
719,beredar,2
720,rangkap,2
721,tengah,2
722,komisi,3
723,check,1
724,nasi,2
725,serasi,4
726,maklumat,2
727,darurat,1
728,disarankan,1
729,inisiator,3
730,substansial,1
731,luntur,1
732,trima,1
733,berbagi,2
734,kabar,2
735,tiara,3
736,lancar,4
737,lanjutkan,1
738,baik-baik,3
739,pelancar,2
740,say,1
741,ajak,1
742,meminta,1
743,publikasi,2
744,benar-benar,2
745,rasio,1
746,baper,1
747,intensif,2
748,menyembul,1
749,hadir,2
750,muncul,1
751,menukar,1
752,ayunan,3
753,berhati-hati,3
754,kembang-kempis,3
755,hastag,1
756,diskaun,3
757,jumat,2
758,babe,3
759,merapal,1
760,bergetar,1
761,mengerubungi,1
762,bernyanyi,2
763,terperengah,1
764,irit,2
765,bergema,1
766,setir,1
767,penggunaan,1
768,selidik,2
769,penimbunan,1
770,muslim,3
771,merinai,1
772,memindahkan,1
773,swagriya,2
774,memperhitungkan,1
775,lelang,1
776,cuat,2
777,kenangan,3
778,kehebohan,1
779,maksimal,3
780,dipantau,2
781,smartphone,1
782,penabung,3
783,sharing,3
784,tampak,1
785,ngerasain,1
786,jagalah,3
787,penumpukan,1
788,lovers,4
789,gelegak,1
790,nyanyi,3
791,bahas,2
792,pengembangannya,3
793,tertinggi,3
794,lenggang,2
795,monggo,3
796,mengeroyok,1
797,ayun,1
798,aba,2
799,abi,2
800,queen,2
801,ekonomis,3
802,mengangsur,1
803,sebenernya,1
804,refresh,2
805,orang islam,2
806,nice,4
807,ayahanda,1
808,membahas,1
809,menorehkan,1
810,penambahan,2
811,kaitan,1
812,menyembur,1
813,gesek,1
814,geser,1
815,tetap hati,3
816,tercinta,4
817,signifikansi,2
818,sidang,1
819,penggentaran,1
820,definit,2
821,jali,2
822,kekerabatan,3
823,afiliasi,2
824,konkret,3
825,chat,3
826,alim,2
827,fanbase,3
828,reseptor,2
829,maujud,2
830,merah jambu,3
831,komunitas,2
832,eviden,3
833,genah,2
834,sensibel,2
835,coffee,2
836,bernyali besar,3
837,sangat,3
838,goda,2
839,sparing,3
840,jaringan,3
841,real,2
842,sentuh,1
843,belajar,3
844,informasinya,2
845,mengaibkan,1
846,membiasakan,2
847,konfirmasinya,3
848,kesimpulan,3
849,berwujud,2
850,pantas mulut,2
851,rizki,4
852,latih,3
853,sweet,3
854,bernyali,4
855,kentara,1
856,banget,1
857,percaya diri,4
858,adzan,3
859,transparansi,2
860,salamat,4
861,dear,2
862,persangkutan,2
863,candang,2
864,anut,2
865,jalanin,2
866,pandai bicara,3
867,pancur,1
868,interaksi,3
869,alim arif,4
870,cakep,5
871,single,3
872,penerima,2
873,langgam,2
874,merah muda,3
875,nyali besar,3
876,nekat,2
877,kesatria,2
878,sungguh-sungguh,2
879,konfirmasikan,3
880,bentur,1
881,determinasi,3
882,medium,2
883,tampilan,1
884,baku,1
885,kubra,2
886,satria,4
887,jentelmen,3
888,relevansi,2
889,penyambut,2
890,faktual,3
891,krim,1
892,melakoni,1
893,jamiah,1
894,esok,1
895,dikasih,2
896,penunggu dunia,2
897,ijab,2
898,menayangkan,2
899,snapback,2
900,pinky,3
901,sejenak,1
902,favorite,4
903,sigap,4
904,membimbingmu,3
905,couple,2
906,syarikat,3
907,penyesuaian,3
908,menghadiahkan,3
909,ikat janji,3
910,dapatkan,2
911,secepatnya,3
912,drum,2
913,tengkurap,2
914,terluang,2
915,nada,2
916,yukk,4
917,berlebih,1
918,tempo,1
919,hostel,1
920,menganugerahi,3
921,rembuk,3
922,pesanggrahan,2
923,pemikiran,1
924,bahasan,1
925,pose,3
926,bertaraf,3
927,penangguhan,3
928,mobil,1
929,care,2
930,baju,2
931,biarkan,1
932,bertekan,1
933,adaptasi,2
934,melayani,3
935,help,2
936,konferensi,2
937,gerak gerik,1
938,menyikap,1
939,pingin,2
940,lompong,1
941,azimat,1
942,penyelarasan,3
943,hamba Allah,3
944,bersemangat,4
945,habituasi,1
946,layan,2
947,ciyeee,1
948,senyumnya,3
949,maen,3
950,meladeni,3
951,perbincangan,2
952,merenangi,1
953,kesepakatan,3
954,itihad,3
955,menyelami,3
956,forum,2
957,penginapan,2
958,super,3
959,menggores,1
960,kencan,3
961,pengakuan,2
962,imbang,2
963,duluan,2
964,ngobrol,1
965,bismillah,4
966,tekan,1
967,pembahasan,1
968,berkualitas,4
969,ketiadaan,1
970,tandang,1
971,kestabilan,4
972,mengontak,1
973,memarkir,1
974,arung,1
975,cintai,4
976,tayang,3
977,balas,1
978,enjoy,3
979,kuy,1
980,motel,1
981,tengok,2
982,dangkal,1
983,deres,1
984,menelungkup,1
985,mirip,1
986,permufakatan,3
987,booking,2
988,plus,2
989,baiknya,1
990,meniti,2
991,reply,2
992,musyawarah,2
993,bernas,2
994,tambah,3
995,losmen,2
996,kenek,1
997,kerjaan,2
998,tukar pikiran,3
999,teh,1
1000,pembeli,2
1001,lihat,3
1002,hotel,1
1003,bertingkat,1
1004,berbobot,2
1005,perilaku,2
1006,menghubungi,1
1007,menanggapi,3
1008,pengirim,1
1009,pengangkut,1
1010,rajah,1
1011,gerak laku,1
1012,setara,2
1013,semerbak,2
1014,arsitektur,2
1015,selayaknya,3
1016,rute,2
1017,size,1
1018,diskon,2
1019,erang,1
1020,saksama,2
1021,konstelasi,2
1022,koneksi,2
1023,tergelak,4
1024,sketsa,2
1025,gelagat,1
1026,tingkah laku,1
1027,maklum,3
1028,kebijakan,3
1029,sepatutnya,2
1030,beranda,1
1031,permenungan,2
1032,rapal,1
1033,kemiripan,2
1034,tertawa,5
1035,sadar,2
1036,berkarya,3
1037,sewajarnya,2
1038,menegarkan,2
1039,great,3
1040,menyanjung-sanjung,2
1041,membunyikan,2
1042,dateng,2
1043,merapat,1
1044,merata,1
1045,antologi,1
1046,pengalaman,2
1047,rame,2
1048,saran,2
1049,adil,4
1050,fulanah,1
1051,coretan,2
1052,ketawa,4
1053,bertemu,2
1054,persamaan,2
1055,guruh,2
1056,lumayan,1
1057,mengembang,1
1058,selfie,2
1059,album,3
1060,kiprah,3
1061,dihati,3
1062,verbal,1
1063,suratan takdir,2
1064,stabil,3
1065,memuji-muji,4
1066,lagak,2
1067,terindah,5
1068,aksi,2
1069,sikap,2
1070,terlewat,1
1071,menegur,2
1072,ngopi,3
1073,solo,2
1074,teguk,2
1075,kalap,1
1076,jatah,3
1077,engah,1
1078,untung,3
1079,eaa,1
1080,jujur,4
1081,keras hati,1
1082,koleksi,1
1083,pertahanin,1
1084,undang,2
1085,berdendang,4
1086,hoki,3
1087,peruntungan,4
1088,mantap,5
1089,sugesti,2
1090,tuah,1
1091,patuh,4
1092,keaktifan,2
1093,melambungkan,2
1094,pelajaran,2
1095,usul,2
1096,tenggang,1
1097,sebanding,3
1098,getol,2
1099,gila-gilaan,2
1100,melafalkan,2
1101,terjaga,2
1102,berserah,2
1103,rohaniah,2
1104,sepantasnya,2
1105,ratu,2
1106,mencium telapak kaki,1
1107,daya upaya,3
1108,setimpal,2
1109,pasrah,3
1110,buka,3
1111,mahal,1
1112,bertukar akal,1
1113,kepuasan,3
1114,mafhum,3
1115,siuman,3
1116,meluas,2
1117,perkembangan,2
1118,tekun,4
1119,melek,2
1120,lupain,1
1121,musik,2
1122,siapa,1
1123,nikmati,3
1124,dongeng,3
1125,adek,1
1126,streng,1
1127,akidah,3
1128,sponsor,2
1129,keliatan,2
1130,penunjang,3
1131,kerasan,2
1132,ketaatan,3
1133,pendukung,4
1134,telaten,4
1135,malu,2
1136,suporter,3
1137,gempita,4
1138,hingar,2
1139,ikat,1
1140,kontak,2
1141,kenyamanan,4
1142,kelahiran,3
1143,diproses,1
1144,penanganan,1
1145,maslahat,3
1146,ketetapan hati,3
1147,solusi,3
1148,pacarnya,2
1149,homogen,2
1150,gepok,2
1151,sekolah,3
1152,relasi,3
1153,peristiwa,2
1154,sastra,2
1155,wajar,3
1156,gegap,2
1157,import,2
1158,lukisan,2
1159,cercah,2
1160,lupakan,1
1161,dikonfirmasi,3
1162,perkasa,4
1163,laba,4
1164,esai,2
1165,sumbu,2
1166,iman,3
1167,insiden,1
1168,slow,1
1169,dogmatis,2
1170,penyokong,3
1171,merilis,3
1172,ekspres,3
1173,hikmat,3
1174,dahsyat,2
1175,bersamamu,3
1176,cute,5
1177,keuntungan,4
1178,baiklah,2
1179,keteguhan hati,3
1180,resolusi,3
1181,memudar,2
1182,kekuatan batin,3
1183,menjadi-jadi,1
1184,kumbang,1
1185,alot,1
1186,persahabatan,4
1187,simple,3
1188,selengkapnya,1
1189,hiruk,1
1190,okeey,2
1191,deras,2
1192,ceritanya,2
1193,komunikasi,2
1194,dicoba,2
1195,dikirim,2
1196,kekeliruan,1
1197,mancing,2
1198,demen,3
1199,penyelesaian,2
1200,tewas,1
1201,proud,5
1202,tergila-gila,3
1203,voucher,3
1204,ngaku,2
1205,penanggulangan,2
1206,anjir,1
1207,keteguhan batin,3
1208,perebutan,1
1209,berkah,4
1210,arak,2
1211,kaya,2
1212,ngalah,2
1213,tulus hati,4
1214,mimpian,2
1215,team,1
1216,silir-semilir,2
1217,moga-moga,1
1218,yaaaa,1
1219,kado,2
1220,terimaksih,4
1221,berlimpah,1
1222,mendarat,1
1223,doain,2
1224,baby,2
1225,challenge,2
1226,mulus,4
1227,berdansa,3
1228,prajurit,2
1229,cintaku,4
1230,welcome,4
1231,mengenal,1
1232,berjilbab,3
1233,kerinduan,2
1234,kalem,4
1235,memantai,1
1236,nungguin,1
1237,game,2
1238,leleh,1
1239,ampun,1
1240,amalan,4
1241,tuntas,2
1242,temennya,1
1243,kukuh,2
1244,rida,2
1245,kepercayaan,3
1246,masjid,3
1247,mengucup,2
1248,bantuin,3
1249,ibadah,4
1250,umum,1
1251,pelangi,4
1252,rejeki,4
1253,tunai,3
1254,membahagiakan,4
1255,quran,3
1256,produktif,2
1257,alhamdulilah,3
1258,rampung,3
1259,tertata,3
1260,solusinya,3
1261,ikhlas,4
1262,terbiasa,3
1263,shiawase,2
1264,kliyengan,1
1265,pengaman,2
1266,yank,2
1267,aamiin,2
1268,subur,2
1269,gelak,2
1270,betul,2
1271,religi,1
1272,memasuki,2
1273,keprihatinan,2
1274,nestapa,1
1275,khawatir,1
1276,masak,2
1277,birthday,4
1278,khayal,2
1279,berparade,1
1280,pantes,1
1281,rapi,3
1282,surau,2
1283,dimiliki,1
1284,siap,1
1285,koordinasikan,1
1286,kebanyakan,2
1287,goreng,1
1288,normal,1
1289,tertarik,2
1290,mengimbangi,1
1291,bersahabat,2
1292,sejati,3
1293,undangan,1
1294,smpai,1
1295,mencinta,5
1296,kuat,2
1297,hati-hati,2
1298,menghadiahi,4
1299,pseudonim,2
1300,mengingat-ingat,2
1301,juta,2
1302,ustazah,3
1303,dicuekin,1
1304,judul,2
1305,kekayaan,2
1306,modal,2
1307,pelita,4
1308,novel,2
1309,cegak,1
1310,sahabatnya,3
1311,resmi,2
1312,mudahan,1
1313,sukacita,2
1314,formal,2
1315,liburan,3
1316,pendek,1
1317,ingat,2
1318,prospek,3
1319,gurih,1
1320,matahari,2
1321,visi,2
1322,familiar,2
1323,pantas,1
1324,ganteng,4
1325,jaga-jaga,1
1326,menyesal,1
1327,substansi,1
1328,ganjaran balasan,1
1329,jagoan,3
1330,berirama,4
1331,lihai,2
1332,artis,2
1333,portofolio,2
1334,alaikum,2
1335,teratur,4
1336,aduh,1
1337,bersesal,1
1338,bonus,4
1339,kekeluargaan,4
1340,melengkapi,3
1341,invitasi,2
1342,upah,1
1343,globe,1
1344,menginsafi,3
1345,banyak akal,3
1346,mumpung,2
1347,suara,2
1348,besar hati,3
1349,better,2
1350,jeli,4
1351,hemat,4
1352,terlanjur,1
1353,entitas,1
1354,tajam mata,2
1355,mendalam,3
1356,insaf,2
1357,pertiwi,3
1358,imbalan,1
1359,premium,2
1360,simpatik,2
1361,fantasy,2
1362,mentab,2
1363,memberi,2
1364,ngajak,1
1365,sayangnya,1
1366,salambersama,1
1367,muji,2
1368,mengerti,2
1369,lezat,5
1370,tentangan,2
1371,kepoin,2
1372,sedap,5
1373,tahan lama,1
1374,lulus,5
1375,mengganyang,1
1376,ijtihad,3
1377,ahli agama,1
1378,pangeran,1
1379,sahaja,2
1380,meredam,1
1381,merasai,1
1382,solat,1
1383,pendapatan,2
1384,waspada,3
1385,menyuap,1
1386,ajakan,1
1387,menyadari,2
1388,ramah,5
1389,satir,1
1390,silaturahim,4
1391,dibayar,3
1392,terencana,2
1393,pundi-pundi,2
1394,promote,3
1395,menyusutkan,1
1396,kebaikan,4
1397,menyempurnakan,3
1398,majubersama,3
1399,oportunitas,3
1400,dialog,1
1401,standardisasi,2
1402,jualan,1
1403,menyenangkan,4
1404,melarutkan,1
1405,perduli,4
1406,cocok,4
1407,trimakasih,4
1408,pahala,2
1409,menabung,4
1410,pemberian,2
1411,ustadz,3
1412,pemandangan,2
1413,semakin,2
1414,ringan kepala,2
1415,karib,4
1416,mksh,2
1417,perlawanan,1
1418,penting,3
1419,berpandangan,1
1420,garis besar,2
1421,beranak-pinak,2
1422,fair,3
1423,berarti,1
1424,asli,2
1425,kerja keras,3
1426,natural,1
1427,bersimpati,4
1428,tulus,4
1429,otak encer,2
1430,menyuplai,2
1431,refleksi,3
1432,menemukan,2
1433,perjuangin,3
1434,berpendidikan,3
1435,syukuri,3
1436,talen,2
1437,pertahankan,1
1438,kecakapan,2
1439,dede,1
1440,bermutu,3
1441,kebangkitan,2
1442,lancarkan,3
1443,berhajat,2
1444,nabi,2
1445,kualifikasi,2
1446,luar biasa,4
1447,intim,2
1448,peka,2
1449,awet,4
1450,sahabatku,3
1451,berbudi pekerti yang baik,3
1452,ramaikan,3
1453,reka,1
1454,bantu,3
1455,sensitif,1
1456,bermanfaat,5
1457,gede,2
1458,bijaksana,1
1459,berharga,3
1460,congrats,3
1461,aliansi,1
1462,cadangan,2
1463,kapabilitas,3
1464,bangsawan,2
1465,kekal,3
1466,nikah,2
1467,akrab,3
1468,kagum,3
1469,becus,1
1470,soleha,3
1471,tercengang,1
1472,mengingatkan,3
1473,gws,2
1474,diajak,1
1475,memfasilitasi,2
1476,mempersiapkan,1
1477,girang,3
1478,imam,1
1479,terpesona,4
1480,disayang,3
1481,mampu,2
1482,ngelupain,1
1483,upaya,1
1484,bernilai,2
1485,usaha,1
1486,harmonis,3
1487,cerdik,2
1488,takjub,4
1489,menyiapkan,1
1490,mengasihi,2
1491,terpana,1
1492,sunyi,1
1493,penyeragaman,1
1494,mengucil,1
1495,segenap,2
1496,persiapan,2
1497,cendekia,3
1498,permata,3
1499,natal,1
1500,terpukau,2
1501,naik ke pelaminan,3
1502,gembira,5
1503,pelajar,1
1504,bertanya,2
1505,meminati,3
1506,ngurusin,2
1507,terkesima,4
1508,mencurigai,1
1509,show,2
1510,inteligen,1
1511,rajin,4
1512,hijau,3
1513,tajam otak,4
1514,empuk,3
1515,berjaga-jaga,1
1516,personalitas,1
1517,diam,1
1518,perataan,2
1519,persediaan,3
1520,kesediaan,1
1521,cium,3
1522,qadim,3
1523,fine,3
1524,terbuka,3
1525,alamiah,2
1526,pemenang,3
1527,menyukai,4
